country,media_outlet,count
estadosunidos,npenews,107406
espana,okdiario,100742
espana,antena3,99950
espana,elespanol,98094
australia,sbsnewsau,93561
espana,publico,76236
chile,biobiochile,66862
chile,horas24,65471
estadosunidos,washingtonpost,29931
espana,elcorreoespana,27215
espana,larazon,21655
china,chinadaily,13482
espana,abcespana,9717
canada ,tvanouvelles,9390
brasil,bandnews,7589
australia,news7,2976



<br>npenews 107406<br> washingtonpost 29931<br>

<br>sbsnewsau93561<br> news72976<br>

<br>chinadaily,13482<br>

<br>tvanouvelles 9.390<br>

<br>bandnews 7.589<br>
